tag,raw_folder_exists,n_json_files,first_json_file,last_json_file,manifest_status_if_available,failed_windows_if_available,page_cap_hit_if_available,status
sql,True,20,sql_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,sql_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page020.json,complete:1,0,0,ok_raw_present
sql-server,True,12,sql-server_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,sql-server_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page012.json,complete:1,0,0,ok_raw_present
string,True,4,string_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,string_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page004.json,complete:1,0,0,ok_raw_present
swift,True,20,swift_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,swift_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page020.json,complete:1,0,0,ok_raw_present
swiftui,True,16,swiftui_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,swiftui_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page016.json,complete:1,0,0,ok_raw_present
tensorflow,True,4,tensorflow_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,tensorflow_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page004.json,complete:1,0,0,ok_raw_present
tkinter,True,4,tkinter_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,tkinter_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page004.json,complete:1,0,0,ok_raw_present
typescript,True,31,typescript_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,typescript_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page031.json,complete:1,0,0,ok_raw_present
unity-game-engine,True,6,unity-game-engine_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,unity-game-engine_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page006.json,complete:1,0,0,ok_raw_present
vba,True,13,vba_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,vba_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page013.json,complete:1,0,0,ok_raw_present
visual-studio,True,8,visual-studio_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,visual-studio_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page008.json,complete:1,0,0,ok_raw_present
visual-studio-code,True,15,visual-studio-code_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,visual-studio-code_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page015.json,complete:1,0,0,ok_raw_present
vue.js,True,7,vuedotjs_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,vuedotjs_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page007.json,complete:1,0,0,ok_raw_present
web-scraping,True,3,web-scraping_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,web-scraping_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page003.json,complete:1,0,0,ok_raw_present
windows,True,14,windows_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,windows_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page014.json,complete:1,0,0,ok_raw_present
wordpress,True,7,wordpress_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,wordpress_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page007.json,complete:1,0,0,ok_raw_present
wpf,True,4,wpf_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,wpf_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page004.json,complete:1,0,0,ok_raw_present
xcode,True,6,xcode_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,xcode_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page006.json,complete:1,0,0,ok_raw_present
xml,True,6,xml_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,xml_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page006.json,complete:1,0,0,ok_raw_present
